,cifid,GULP energy per Si atom
0,8000277,-12405.799273
1,8013807,-12401.93513
2,8000023,-12397.962842
3,8000163,-12389.136512
4,8000220,-12388.09776
5,8000205,-12389.362145
6,8045553,-12389.952974
7,8048025,-12410.820724
8,8000221,-12394.497251
9,8045398,-12390.166131
10,8000102,-12396.229905
11,8037185,-12390.791728
12,8045575,-12391.535647
13,8000022,-12407.866011
14,8000214,-12388.0934
15,8024665,-12402.970574
16,8045302,-12396.030276
17,8000085,-12388.312725
18,8047217,-12395.208327
19,8000215,-12393.28394
20,8047639,-12411.191289
21,8000151,-12388.484321
22,8157942,-12403.819431
23,8000149,-12390.693891
24,8000278,-12388.303562
25,8000257,-12388.311838
26,8028603,-12391.066639
27,8000105,-12389.97238
28,8000175,-12390.839254
29,8000187,-12389.70375
30,8000240,-12394.531059
31,8000218,-12390.011929
32,8036302,-12396.145042
33,8047188,-12408.889972
34,8035976,-12394.832081
35,8000265,-12393.175754
36,8000281,-12405.9455
37,8013876,-12405.567117
38,8000280,-12404.217821
39,8000114,-12395.160141
40,8021381,-12388.888585
41,8000197,-12389.323167
42,8000185,-12389.688767
43,8000267,-12392.057271
44,8000276,-12389.391941
45,8000219,-12390.855488
46,8000193,-12405.947015
47,8022958,-12407.560191
48,8045573,-12410.076673
49,8025224,-12400.635831
50,8000245,-12403.141511
51,8037711,-12400.800218
52,8000070,-12401.892092
53,8047644,-12404.807089
54,8000083,-12400.341317
55,8000217,-12392.326102
56,8000208,-12388.971855
57,8000196,-12391.309214
58,8028661,-12388.726747
59,8000104,-12390.629433
60,8043639,-12400.592179
61,8020558,-12389.991255
62,8122362,-12394.15103
63,8021222,-12406.977565
64,8000056,-12402.515965
65,8000174,-12390.112743
66,8000008,-12392.618906
67,8000279,-12389.148696
68,8024794,-12392.176359
69,8000099,-12394.399966
70,8000256,-12390.259549
71,8077240,-12412.440497
72,8009060,-12413.50557
73,8000068,-12394.632276
74,8000176,-12391.417615
75,8000118,-12408.712128
76,8000061,-12394.882746
77,8000258,-12398.890283
78,8000181,-12388.841608
79,8122133,-12389.660194
80,8036513,-12396.952655
81,8000207,-12391.401476
82,8033366,-12395.295297
83,8000202,-12393.707029
84,8047113,-12404.6234
85,8000049,-12390.157419
86,8000095,-12391.090734
87,8000254,-12402.599692
88,8037674,-12403.156097
89,8035701,-12403.996223
90,8000012,-12401.704241
91,8047363,-12391.083822
92,8045486,-12390.724782
93,8321454,-12412.252612
94,8000269,-12389.829883
95,8045969,-12403.540462
96,8012138,-12406.785227
97,8000262,-12403.34412
98,8036290,-12391.457808
99,8000294,-12389.605066
