,cifid,Total GULP energy
0,8000277,-49623.197094
1,8013807,-99215.481041
2,8000023,-74387.777052
3,8000163,-99113.092095
4,8000220,-99104.78208
5,8000205,-74336.172869
6,8045553,-86729.670815
7,8048025,-99286.56579
8,8000221,-99155.97801
9,8045398,-74340.996786
10,8000102,-99169.839244
11,8037185,-99126.333821
12,8045575,-86740.749526
13,8000022,-99262.928087
14,8000214,-99104.747197
15,8024665,-99223.764595
16,8045302,-61980.151382
17,8000085,-99106.501802
18,8047217,-99161.666615
19,8000215,-99146.271523
20,8047639,-99289.530314
21,8000151,-99107.874572
22,8157942,-99230.555448
23,8000149,-74344.163344
24,8000278,-74329.82137
25,8000257,-99106.494706
26,8028603,-99128.533114
27,8000105,-74339.834278
28,8000175,-99126.714028
29,8000187,-74338.222501
30,8000240,-99156.248474
31,8000218,-74340.071573
32,8036302,-99169.160339
33,8047188,-99271.119772
34,8035976,-74368.992484
35,8000265,-99145.406033
36,8000281,-74435.673002
37,8013876,-74433.402701
38,8000280,-74425.306928
39,8000114,-99161.281128
40,8021381,-99111.108681
41,8000197,-74335.939001
42,8000185,-74338.132601
43,8000267,-74352.343628
44,8000276,-74336.351649
45,8000219,-74345.132928
46,8000193,-99247.576121
47,8022958,-99260.48153
48,8045573,-99280.613383
49,8025224,-99205.086647
50,8000245,-74418.849064
51,8037711,-99206.401747
52,8000070,-99215.136737
53,8047644,-99238.456714
54,8000083,-99202.730539
55,8000217,-74353.956609
56,8000208,-74333.831132
57,8000196,-99130.473714
58,8028661,-99109.813974
59,8000104,-74343.776598
60,8043639,-99204.737436
61,8020558,-99119.930042
62,8122362,-123941.510302
63,8021222,-99255.820521
64,8000056,-74415.095787
65,8000174,-74340.67646
66,8000008,-74355.713439
67,8000279,-74334.892174
68,8024794,-99137.410871
69,8000099,-99155.199729
70,8000256,-74341.557296
71,8077240,-99299.523978
72,8009060,-99308.044561
73,8000068,-99157.05821
74,8000176,-99131.340921
75,8000118,-74452.272769
76,8000061,-99159.061969
77,8000258,-74393.3417
78,8000181,-74333.049646
79,8122133,-99117.281556
80,8036513,-99175.621238
81,8000207,-74348.408853
82,8033366,-99162.362375
83,8000202,-99149.656229
84,8047113,-99236.987197
85,8000049,-74340.944514
86,8000095,-74346.544405
87,8000254,-74415.598154
88,8037674,-99225.248778
89,8035701,-74423.977338
90,8000012,-74410.225445
91,8047363,-99128.670578
92,8045486,-74344.348693
93,8321454,-74473.51567
94,8000269,-74338.979301
95,8045969,-74421.242775
96,8012138,-99254.281812
97,8000262,-74420.064719
98,8036290,-99131.66246
99,8000294,-74337.630394
